iter	Logloss
0	0.6904621887
1	0.6843723297
2	0.6807304382
3	0.6763768768
4	0.6691255951
5	0.6657553101
6	0.660350647
7	0.6577053833
8	0.6517888641
9	0.6465459442
10	0.6439736938
11	0.6409364319
12	0.6361090088
13	0.6329507446
14	0.6300732803
15	0.627166748
16	0.6199940109
17	0.617059021
18	0.6139908218
19	0.6100933075
20	0.606155014
21	0.601362381
22	0.5976917267
23	0.5941523361
24	0.5903231812
25	0.5863271332
26	0.5843531799
27	0.5796736908
28	0.5770498657
29	0.5744863892
30	0.5691459656
31	0.5657845688
32	0.5610953903
33	0.5580125427
34	0.5558477402
35	0.5514470673
36	0.549214325
37	0.5468989563
38	0.5431817245
39	0.5406346512
40	0.538727951
41	0.5334059906
42	0.5320102692
43	0.5270418167
44	0.5253139877
45	0.5237502289
46	0.5219345474
47	0.5201616669
48	0.5163845825
49	0.5119680786
50	0.5103698349
51	0.5070140076
52	0.5054502869
53	0.5029576111
54	0.500252037
55	0.4983997345
56	0.4959297562
57	0.4933116913
58	0.4914402771
59	0.4897828674
60	0.4877711105
61	0.4858060074
62	0.4831475449
63	0.4809691238
64	0.4779944992
65	0.4750753021
66	0.4738493729
67	0.4725380707
68	0.469718132
69	0.4685915375
70	0.4668598557
71	0.465570755
72	0.4637203598
73	0.4618300629
74	0.4593260956
75	0.4575711823
76	0.4548711777
77	0.4526060867
78	0.4490250778
79	0.4479833221
80	0.446469574
81	0.445485611
82	0.4446350098
83	0.4434299469
84	0.442431488
85	0.4404225922
86	0.4391041183
87	0.4380960846
88	0.4349468613
89	0.4333739471
90	0.4325011063
91	0.4309674454
92	0.429904213
93	0.4288407135
94	0.4271920013
95	0.4264725494
96	0.4254527664
97	0.4236948395
98	0.4228343201
99	0.421314621
100	0.4200592041
101	0.4184962082
102	0.4168144989
103	0.4160043335
104	0.4150872803
105	0.4136323547
106	0.4129214859
107	0.4119796753
108	0.4102182007
109	0.4084422302
110	0.407882309
111	0.4054656601
112	0.4046132278
113	0.4022473907
114	0.4012759018
115	0.400243721
116	0.3986412048
117	0.3980574799
118	0.3970660019
119	0.396289444
120	0.3951984024
121	0.3946984863
122	0.3937348938
123	0.3931259155
124	0.3918740463
125	0.3913947296
126	0.3906958008
127	0.3899335098
128	0.3887988281
129	0.3882168579
130	0.3874785614
131	0.38668396
132	0.3860057831
133	0.3848131561
134	0.3843077087
135	0.3837887192
136	0.3832474518
137	0.3819960022
138	0.3803276443
139	0.3795832062
140	0.3791333008
141	0.3779924774
142	0.3771500778
143	0.376550827
144	0.3758373642
145	0.3750274658
146	0.3740395355
147	0.3731147003
148	0.372250824
149	0.3717798615
150	0.3707305908
151	0.3700530243
152	0.3690452576
153	0.3686467743
154	0.3681858826
155	0.3679227448
156	0.3675485992
157	0.3663502121
158	0.3655867386
159	0.3647106171
160	0.3637649536
161	0.3632827759
162	0.3621260071
163	0.3615252686
164	0.3606763077
165	0.360308075
166	0.3597385025
167	0.3591787338
168	0.3587781525
169	0.3582867432
170	0.3578461456
171	0.3572893524
172	0.3565589905
173	0.3552143097
174	0.3546562195
175	0.35432724
176	0.3538886642
177	0.3530461121
178	0.3523703766
179	0.3517006302
180	0.3507884979
181	0.3496048737
182	0.3488668823
183	0.3484675598
184	0.347695694
185	0.3472636414
186	0.3467066193
187	0.3457729721
188	0.3453267288
189	0.3449526596
190	0.3444496918
191	0.3436606979
192	0.3427819824
193	0.3422275925
194	0.3417845154
195	0.341348114
196	0.3409602356
197	0.3404115677
198	0.3397607422
199	0.3393745422
200	0.3390303421
201	0.3386317062
202	0.338175087
203	0.3377462006
204	0.3369258118
205	0.3360739899
206	0.3355969238
207	0.335170517
