iter	Passed	Remaining
0	133	133127
1	137	68570
2	141	46960
3	145	36196
4	149	29754
5	152	25336
6	156	22174
7	159	19797
8	164	18138
9	168	16665
10	171	15428
11	174	14390
12	179	13637
13	183	12894
14	186	12233
15	189	11646
16	193	11193
17	196	10740
18	200	10334
19	203	9966
20	207	9663
21	210	9370
22	214	9096
23	217	8857
24	221	8636
25	225	8451
26	228	8249
27	232	8061
28	235	7880
29	238	7713
30	242	7564
31	245	7417
32	248	7284
33	251	7152
34	255	7047
35	258	6932
36	262	6820
37	265	6717
38	268	6621
39	272	6538
40	275	6448
41	279	6364
42	282	6283
43	285	6210
44	289	6137
45	292	6063
46	295	5998
47	299	5938
48	303	5883
49	306	5825
50	310	5770
51	313	5721
52	317	5677
53	321	5627
54	324	5574
55	327	5523
56	330	5474
57	334	5433
58	337	5389
59	341	5343
60	344	5299
61	347	5257
62	351	5227
63	354	5188
64	358	5150
65	361	5113
66	365	5084
67	368	5049
68	371	5012
69	378	5033
70	382	5001
71	385	4967
72	388	4934
73	391	4901
74	396	4885
75	399	4856
76	402	4826
77	405	4796
78	409	4769
79	412	4748
80	416	4721
81	419	4694
82	422	4668
83	425	4643
84	429	4625
85	432	4599
86	436	4575
87	439	4553
88	442	4531
89	446	4511
90	449	4488
91	452	4467
92	456	4447
93	459	4430
94	462	4410
95	466	4389
96	469	4370
97	472	4350
98	476	4334
99	479	4315
100	482	4295
101	485	4277
102	489	4258
103	492	4243
104	495	4226
105	499	4210
106	502	4197
107	506	4181
108	509	4166
109	512	4150
110	516	4132
111	519	4117
112	522	4104
113	526	4091
114	529	4076
115	532	4056
116	535	4041
117	539	4031
118	543	4022
119	546	4010
120	550	3996
121	553	3984
122	557	3975
123	561	3964
124	564	3954
125	568	3942
126	572	3936
127	576	3924
128	579	3911
129	582	3899
130	586	3891
131	590	3880
132	593	3868
133	596	3855
134	599	3844
135	603	3836
136	607	3826
137	610	3814
138	613	3802
139	617	3791
140	621	3784
141	625	3776
142	628	3769
143	633	3764
144	637	3757
145	641	3753
146	645	3744
147	649	3736
148	653	3732
149	657	3724
150	669	3763
151	673	3754
152	681	3772
153	685	3768
154	694	3785
155	702	3799
156	714	3834
157	720	3841
158	728	3852
159	735	3863
160	741	3864
161	748	3871
162	752	3864
163	757	3860
164	764	3867
165	769	3867
166	773	3860
167	781	3870
168	786	3869
169	791	3862
170	800	3881
171	806	3882
172	811	3880
173	816	3876
174	823	3882
175	829	3882
176	833	3876
177	839	3878
178	846	3880
179	850	3874
180	858	3882
181	863	3880
182	869	3881
183	874	3878
184	879	3875
185	884	3870
186	889	3865
187	895	3866
188	899	3857
189	903	3851
190	909	3850
191	916	3855
192	920	3850
193	926	3847
194	931	3844
195	935	3838
196	940	3834
197	946	3835
198	951	3830
199	958	3834
200	967	3847
201	979	3870
202	991	3891
203	1001	3907
204	1012	3926
205	1022	3942
206	1033	3960
207	1040	3961
208	1045	3957
209	1053	3963
210	1059	3961
211	1071	3981
212	1077	3979
213	1086	3992
214	1091	3984
215	1096	3978
216	1101	3973
217	1105	3967
218	1110	3958
219	1113	3949
220	1118	3941
221	1122	3933
222	1126	3925
223	1131	3919
224	1135	3912
225	1139	3903
226	1143	3893
227	1147	3885
228	1151	3878
229	1155	3869
230	1160	3862
231	1164	3853
232	1168	3845
233	1171	3836
234	1175	3826
235	1178	3816
236	1185	3816
237	1189	3808
238	1194	3803
239	1198	3795
240	1202	3786
241	1205	3776
242	1209	3768
243	1214	3762
244	1217	3752
245	1221	3742
246	1224	3732
247	1227	3722
248	1231	3713
249	1234	3703
250	1237	3693
251	1241	3684
252	1244	3675
253	1248	3665
254	1251	3656
255	1254	3646
256	1258	3637
257	1262	3629
258	1265	3620
259	1268	3610
260	1271	3601
261	1275	3592
262	1278	3584
263	1282	3576
264	1286	3567
265	1289	3557
266	1293	3549
267	1296	3541
268	1299	3530
269	1302	3522
270	1306	3514
271	1311	3511
272	1315	3503
273	1319	3496
274	1323	3490
275	1328	3483
276	1332	3476
277	1335	3469
278	1339	3461
279	1343	3453
280	1346	3445
281	1349	3436
282	1353	3428
283	1357	3421
284	1360	3413
285	1363	3405
286	1367	3396
287	1371	3389
288	1374	3382
289	1378	3374
290	1381	3366
291	1385	3358
292	1388	3351
293	1392	3343
294	1395	3335
295	1398	3327
296	1402	3319
297	1406	3312
298	1409	3304
299	1412	3296
300	1416	3289
301	1420	3283
302	1424	3276
303	1427	3268
304	1431	3261
305	1434	3253
306	1438	3246
307	1441	3238
308	1444	3230
309	1448	3223
310	1451	3216
311	1455	3208
312	1458	3201
313	1461	3193
314	1465	3186
315	1469	3179
316	1472	3172
317	1475	3164
318	1478	3157
319	1482	3150
320	1486	3143
321	1489	3136
322	1493	3130
323	1496	3122
324	1500	3116
325	1503	3109
326	1507	3101
327	1510	3094
328	1513	3087
329	1517	3081
330	1520	3074
331	1524	3067
332	1527	3060
333	1531	3054
334	1535	3047
335	1538	3040
336	1541	3032
337	1546	3028
338	1550	3023
339	1554	3016
340	1558	3012
341	1563	3007
342	1566	3001
343	1570	2994
344	1573	2987
345	1576	2980
346	1580	2974
347	1584	2968
348	1587	2961
349	1591	2954
350	1594	2948
351	1598	2942
352	1601	2935
353	1604	2928
354	1608	2922
355	1612	2916
356	1615	2910
357	1619	2903
358	1622	2897
359	1626	2891
360	1629	2885
361	1633	2878
362	1636	2871
363	1639	2865
364	1643	2859
365	1647	2853
366	1650	2847
367	1654	2840
368	1657	2835
369	1661	2828
370	1664	2822
371	1667	2815
372	1671	2809
373	1674	2803
374	1678	2797
375	1682	2791
376	1685	2785
377	1689	2779
378	1692	2773
379	1696	2767
380	1699	2761
381	1702	2754
382	1707	2749
383	1710	2743
384	1713	2737
385	1717	2731
386	1720	2725
387	1724	2719
388	1727	2713
389	1730	2707
390	1734	2700
391	1737	2695
392	1741	2689
393	1744	2683
394	1748	2677
395	1751	2671
396	1755	2666
397	1758	2660
398	1761	2653
399	1765	2647
400	1769	2642
401	1773	2637
402	1776	2631
403	1780	2625
404	1783	2620
405	1787	2614
406	1790	2608
407	1794	2603
408	1797	2597
409	1800	2591
410	1804	2585
411	1807	2579
412	1811	2574
413	1814	2568
414	1818	2563
415	1821	2557
416	1825	2552
417	1828	2546
418	1832	2541
419	1836	2535
420	1839	2530
421	1843	2524
422	1846	2518
423	1850	2513
424	1853	2507
425	1857	2502
426	1860	2496
427	1864	2491
428	1868	2486
429	1871	2480
430	1874	2474
431	1878	2469
432	1882	2464
433	1886	2459
434	1889	2454
435	1892	2448
436	1896	2443
437	1900	2438
438	1903	2432
